Rk,School,Overall G,Overall W,Overall L,Overall W-L%,OverallSRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,PPG,Points Opponent,OPPG,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
164,Marist,30,7,23,0.233,-11.69,-4.52,4,16,4,10,2,12,2145,71.5,2360,78.66666667,1220,723,1713,0.422,248,726,0.342,451,615,0.733,261,975,350,138,81,364,587
165,Marquette,33,20,13,0.606,7.66,5.57,8,10,12,7,5,5,2517,76.27272727,2448,74.18181818,1340,884,1888,0.468,194,572,0.339,555,764,0.726,311,1179,533,258,137,485,620
166,Marshall,33,17,16,0.515,0.83,-0.3,12,6,10,4,5,9,2838,86,2801,84.87878788,1330,1017,2183,0.466,332,985,0.337,472,681,0.693,341,1230,554,226,103,424,637
167,Maryland-Baltimore County,32,7,25,0.219,-15.37,-6.87,3,13,4,9,3,15,2307,72.09375,2579,80.59375,1290,788,1788,0.441,216,652,0.331,515,754,0.683,279,1017,393,223,57,398,636
168,Maryland-Eastern Shore,32,10,22,0.313,-14.23,-6.17,7,9,7,4,3,17,2178,68.0625,2399,74.96875,1295,759,1715,0.443,201,610,0.33,459,648,0.708,337,1100,403,188,72,512,691
169,Maryland NCAA,36,27,9,0.75,16.71,8.31,12,6,16,1,4,6,2725,75.69444444,2400,66.66666667,1445,943,1941,0.486,267,739,0.361,572,745,0.768,319,1288,488,210,194,458,605
170,Massachusetts-Lowell,29,11,18,0.379,-13.59,-6.17,7,9,6,6,5,12,2221,76.5862069,2401,82.79310345,1170,800,1705,0.469,240,659,0.364,381,556,0.685,249,947,426,205,71,455,596
171,Massachusetts,32,14,18,0.438,0.64,2.96,6,12,9,7,3,9,2353,73.53125,2427,75.84375,1300,817,1903,0.429,234,709,0.33,485,694,0.699,307,1141,443,207,113,409,668
172,McNeese State,29,9,20,0.31,-15.24,-6.74,7,11,7,6,2,13,2083,71.82758621,2301,79.34482759,1185,719,1751,0.411,205,617,0.332,440,629,0.7,321,1045,331,171,126,370,583
173,Memphis,34,19,15,0.559,9.84,3.58,8,10,14,6,2,8,2603,76.55882353,2390,70.29411765,1370,877,2124,0.413,206,635,0.324,643,890,0.722,431,1379,510,261,185,407,680
174,Mercer,34,19,15,0.559,-3.11,-4.55,8,10,10,3,3,11,2446,71.94117647,2339,68.79411765,1390,871,1958,0.445,210,612,0.343,494,676,0.731,436,1363,509,174,85,431,588
175,Miami (FL) NCAA,35,27,8,0.771,18.52,10.69,13,5,15,1,6,5,2633,75.22857143,2359,67.4,1405,907,1895,0.479,241,643,0.375,578,772,0.749,330,1207,438,215,127,383,581
176,Miami (OH),33,13,20,0.394,-5.91,-0.25,6,12,10,8,3,11,2089,63.3030303,2249,68.15151515,1320,719,1781,0.404,178,582,0.306,471,646,0.729,326,1068,336,218,72,402,617
177,Michigan State NCAA,35,29,6,0.829,22.59,6.94,13,5,14,2,7,3,2793,79.8,2245,64.14285714,1410,1009,2078,0.486,321,739,0.434,454,623,0.729,415,1454,719,156,177,406,671
178,Michigan NCAA,36,23,13,0.639,13.75,7.92,10,8,13,4,4,6,2656,73.77777778,2426,67.38888889,1445,947,2048,0.462,342,901,0.38,420,569,0.738,290,1152,537,203,81,348,558
179,Middle Tennessee NCAA,35,25,10,0.714,2.66,-0.7,13,5,11,3,8,6,2539,72.54285714,2410,68.85714286,1405,909,2025,0.449,279,716,0.39,442,718,0.616,369,1283,455,215,123,419,700
180,Milwaukee,33,20,13,0.606,2.89,-2.02,10,8,9,4,7,6,2618,79.33333333,2391,72.45454545,1345,879,1927,0.456,306,842,0.363,554,718,0.772,320,1195,566,149,86,362,562
181,Minnesota,31,8,23,0.258,0.86,6.86,2,16,7,10,0,9,2108,68,2294,74,1255,724,1785,0.406,191,616,0.31,469,662,0.708,310,1067,379,170,112,354,565
182,Mississippi State,31,14,17,0.452,8.18,6.02,7,11,10,5,2,9,2323,74.93548387,2256,72.77419355,1245,850,1862,0.456,225,674,0.334,398,549,0.725,325,1096,431,202,132,393,596
183,Mississippi Valley State,35,8,27,0.229,-19.86,-8.11,6,12,3,6,3,19,2293,65.51428571,2704,77.25714286,1425,826,2129,0.388,179,590,0.303,462,667,0.693,380,1245,373,241,82,470,671
184,Mississippi,32,20,12,0.625,7.91,4.81,10,8,12,2,7,7,2405,75.15625,2306,72.0625,1290,796,1916,0.415,252,746,0.338,561,791,0.709,424,1230,412,242,100,386,635
185,Missouri-Kansas City,31,12,19,0.387,-6.31,-2.24,4,10,9,4,2,13,2152,69.41935484,2240,72.25806452,1245,746,1738,0.429,213,588,0.362,447,663,0.674,356,1084,350,181,98,415,651
186,Missouri State,32,13,19,0.406,-3.52,2.58,8,10,8,7,4,8,2153,67.28125,2321,72.53125,1290,752,1817,0.414,168,533,0.315,481,713,0.675,333,1135,390,199,130,409,622
187,Missouri,31,10,21,0.323,2.5,6.88,3,15,10,7,0,11,2126,68.58064516,2262,72.96774194,1240,732,1736,0.422,175,565,0.31,487,688,0.708,295,1109,362,169,81,386,636
188,Monmouth,36,28,8,0.778,5.29,-1.85,17,3,11,2,13,4,2861,79.47222222,2604,72.33333333,1450,963,2214,0.435,282,770,0.366,653,850,0.768,388,1397,443,296,128,443,767
189,Montana State,31,14,17,0.452,-6.91,-5.35,9,9,8,3,4,12,2369,76.41935484,2411,77.77419355,1245,831,1916,0.434,297,797,0.373,410,598,0.686,394,1159,392,149,62,375,683
190,Montana,33,21,12,0.636,-0.72,-4.29,14,4,12,2,7,9,2393,72.51515152,2225,67.42424242,1330,841,1807,0.465,254,680,0.374,457,657,0.696,304,1138,451,173,83,409,712
191,Morehead State,37,23,14,0.622,1.04,-1.65,11,5,14,2,8,11,2722,73.56756757,2553,69,1495,974,2219,0.439,215,593,0.363,557,801,0.695,541,1380,533,304,83,464,859
192,Morgan State,31,9,22,0.29,-12.57,-7.97,6,10,6,6,2,15,2089,67.38709677,2223,71.70967742,1250,734,1854,0.396,161,535,0.301,460,672,0.685,377,1089,349,188,68,368,572
193,Mount St. Mary's,33,14,19,0.424,-9.93,-7.99,10,8,9,3,5,15,2218,67.21212121,2282,69.15151515,1335,788,1967,0.401,226,713,0.317,416,601,0.692,318,1022,361,248,119,401,655
194,Murray State,31,17,14,0.548,-1.58,-3.06,10,6,10,4,4,8,2212,71.35483871,2093,67.51612903,1245,770,1694,0.455,226,621,0.364,444,613,0.724,308,1018,445,186,66,367,617
195,Navy,33,19,14,0.576,-4.99,-7.05,9,9,6,9,11,4,2230,67.57575758,2135,64.6969697,1340,805,1768,0.455,141,469,0.301,479,748,0.64,370,1187,448,188,125,430,648
196,Nebraska-Omaha,32,18,14,0.563,-0.24,-2.04,10,6,9,4,7,9,2729,85.28125,2619,81.84375,1295,953,2023,0.471,202,599,0.337,621,833,0.745,340,1129,460,297,94,413,657
197,Nebraska,34,16,18,0.471,8.84,5.57,6,12,10,8,3,8,2456,72.23529412,2345,68.97058824,1370,883,1976,0.447,220,634,0.347,470,644,0.73,377,1197,397,250,112,401,656
198,Nevada-Las Vegas,33,18,15,0.545,5.5,3.17,8,10,13,3,2,10,2581,78.21212121,2427,73.54545455,1350,887,2015,0.44,252,760,0.332,555,815,0.681,371,1270,499,266,168,466,700
199,Nevada,38,24,14,0.632,2.85,1.79,10,8,16,3,5,10,2878,75.73684211,2740,72.10526316,1550,973,2293,0.424,202,658,0.307,730,992,0.736,459,1535,478,254,216,495,788
200,New Hampshire,33,20,13,0.606,-7.89,-7.05,11,5,11,3,9,10,2342,70.96969697,2297,69.60606061,1330,809,1944,0.416,222,666,0.333,502,693,0.724,376,1296,389,126,59,385,585
201,New Mexico State,34,23,11,0.676,3.59,-3.54,13,1,15,2,7,8,2424,71.29411765,2145,63.08823529,1380,887,1919,0.462,179,537,0.333,471,696,0.677,415,1395,475,141,160,462,535
202,New Mexico,32,17,15,0.531,5.21,2.58,10,8,12,4,5,7,2432,76,2348,73.375,1285,829,1782,0.465,196,540,0.363,578,783,0.738,310,1173,462,180,130,489,657
203,New Orleans,30,10,20,0.333,-14.21,-8.17,6,12,7,5,3,14,2249,74.96666667,2325,77.5,1205,763,1820,0.419,162,480,0.338,561,816,0.688,422,1138,408,252,77,452,640
204,Niagara,32,7,25,0.219,-11.26,-3.86,5,15,5,8,1,14,2067,64.59375,2304,72,1300,735,1821,0.404,166,589,0.282,431,620,0.695,384,1168,347,165,103,461,626
205,Nicholls State,34,11,23,0.324,-16.68,-5.23,6,12,8,4,1,17,2298,67.58823529,2598,76.41176471,1375,787,1875,0.42,212,694,0.305,512,782,0.655,315,1144,433,229,164,534,686
206,NJIT,35,20,15,0.571,-4.17,-4.56,8,6,12,6,8,9,2629,75.11428571,2587,73.91428571,1410,911,2045,0.445,306,865,0.354,501,679,0.738,330,1214,562,226,93,452,672
207,Norfolk State,34,17,17,0.5,-7.55,-6.73,12,4,9,2,7,10,2494,73.35294118,2494,73.35294118,1370,813,1919,0.424,242,697,0.347,626,808,0.775,376,1182,411,191,174,423,712
208,North Carolina-Asheville NCAA,34,22,12,0.647,1.1,-3.25,12,6,11,3,6,7,2552,75.05882353,2313,68.02941176,1370,898,1973,0.455,195,603,0.323,561,808,0.694,396,1278,422,312,112,444,587
209,North Carolina A&T,32,10,22,0.313,-16.78,-8.49,7,9,8,6,2,13,2169,67.78125,2433,76.03125,1305,745,1836,0.406,199,633,0.314,480,675,0.711,357,1148,339,162,77,439,718
210,North Carolina Central,32,13,19,0.406,-13,-10.03,7,9,8,5,3,12,2220,69.375,2235,69.84375,1285,779,1805,0.432,200,575,0.348,462,697,0.663,395,1178,406,186,54,444,635
211,North Carolina-Greensboro,34,15,19,0.441,-6.01,-3.23,10,8,12,4,3,14,2469,72.61764706,2494,73.35294118,1370,890,1997,0.446,296,815,0.363,393,579,0.679,322,1167,440,208,86,407,675
212,North Carolina State,33,16,17,0.485,9.83,9.04,5,13,11,7,3,8,2482,75.21212121,2456,74.42424242,1330,866,1999,0.433,207,595,0.348,543,777,0.699,457,1306,383,149,141,366,558
213,North Carolina-Wilmington NCAA,33,25,8,0.758,6.25,0.35,14,4,12,2,8,5,2620,79.39393939,2379,72.09090909,1335,928,2039,0.455,230,677,0.34,534,760,0.703,397,1237,438,246,143,374,793
