Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Advanced Pace,School Advanced ORtg,School Advanced FTr,School Advanced 3PAr,School Advanced TS%,School Advanced TRB%,School Advanced AST%,School Advanced STL%,School Advanced BLK%,School Advanced eFG%,School Advanced TOV%,School Advanced ORB%,School Advanced FT/FGA
279,South Dakota State NCAA,34,26,8,0.765,5.44,-1.22,12,4,13,0,8,7,2591,2316,68.8,110.8,0.402,0.367,0.558,53.7,43.4,7.2,6.6,0.515,14.7,32.5,0.298
280,South Dakota,32,14,18,0.438,-5.58,-0.88,5,11,6,6,5,10,2443,2537,71.7,104.4,0.305,0.289,0.546,47.7,53.9,8.9,9.8,0.518,14.8,25.5,0.214
281,South Florida,33,8,25,0.242,-2.85,5.24,4,14,4,14,3,9,2085,2352,67.1,94.2,0.33,0.251,0.487,51.6,42.8,6.8,14.2,0.454,18.5,34.6,0.218
282,Southeast Missouri State,29,5,24,0.172,-16.05,-3.43,2,14,3,10,2,14,1944,2252,71.5,93.4,0.358,0.3,0.486,48,51.2,10.5,4.3,0.454,16.7,28.7,0.229
283,Southeastern Louisiana,33,12,21,0.364,-13.61,-7.55,9,9,9,3,2,15,2344,2489,70.6,100.3,0.379,0.354,0.542,48.9,56.8,9,7.6,0.519,18.9,29.5,0.241
284,Southern California NCAA,34,21,13,0.618,13.52,7.64,9,9,16,2,3,7,2737,2537,72.5,109.4,0.351,0.322,0.549,51.1,51.3,8.6,12.5,0.522,14.3,32.1,0.237
285,SIU Edwardsville,28,6,22,0.214,-10.78,-2.6,3,13,3,11,3,11,1839,2068,68.1,95.6,0.369,0.326,0.492,50.5,47.8,7.2,10.3,0.448,16.8,32.4,0.26
286,Southern Illinois,32,22,10,0.688,2.79,-1.3,11,7,12,4,9,4,2360,2229,69.9,104.7,0.393,0.338,0.544,52.2,44.8,10.3,5.8,0.511,16.8,31.7,0.269
287,Southern Methodist,30,25,5,0.833,18.42,4.56,13,5,16,1,7,4,2319,1903,66.1,117,0.338,0.268,0.578,57.4,61.5,9.2,13.5,0.553,15.7,41.2,0.237
288,Southern Mississippi,29,8,21,0.276,-10.58,-3.66,5,13,6,9,2,12,1866,2045,65,97.3,0.361,0.482,0.532,47.3,57.7,8.1,7.2,0.495,18.1,23.4,0.257
289,Southern Utah,30,6,24,0.2,-17.36,-4.22,3,15,3,10,3,13,2119,2429,69.9,100.1,0.361,0.343,0.538,45.9,48.2,8,7.5,0.502,16.2,23.1,0.256
290,Southern NCAA,35,22,13,0.629,-7.68,-9.37,11,7,12,1,6,10,2534,2406,69.5,104.2,0.369,0.298,0.527,49,41.9,10.6,9.7,0.496,14,28.9,0.247
291,St. Bonaventure,31,22,9,0.71,6.55,1.87,14,4,14,3,8,5,2409,2264,69.1,111.5,0.375,0.376,0.56,49.3,51.5,8.5,11.7,0.515,14.2,31.4,0.29
292,St. Francis (NY),32,15,17,0.469,-11.24,-9.24,11,7,9,5,6,11,2095,2131,66.9,97.2,0.365,0.434,0.5,50.6,52.1,8.9,12,0.464,17.4,32.6,0.243
293,St. John's (NY),32,8,24,0.25,-1.9,7.94,1,17,6,10,0,10,2174,2472,73.3,92.7,0.383,0.34,0.493,47.4,54.6,8.6,14.5,0.461,18.2,27.5,0.244
294,Stanford,30,15,15,0.5,8.06,10.41,8,10,12,5,2,8,2088,2111,67.3,102.6,0.449,0.325,0.521,49.4,49.7,10,9.2,0.478,15,30.9,0.307
295,Stephen F. Austin NCAA,34,28,6,0.824,9.23,-5.47,18,0,14,0,9,4,2728,2153,69.6,115.3,0.345,0.365,0.577,51.9,65.3,13.1,10.2,0.545,14.8,34.6,0.253
296,Stetson,34,12,22,0.353,-10.78,-4.35,4,10,6,8,5,13,2729,2807,73.5,106.9,0.341,0.364,0.553,47.1,54,8.4,5.5,0.519,14.5,25.6,0.246
297,Stony Brook NCAA,33,26,7,0.788,3.75,-5.28,14,2,15,1,11,5,2515,2115,67.8,112,0.32,0.3,0.548,55.4,58,9.1,12.1,0.524,14.2,36,0.215
298,Syracuse NCAA,37,23,14,0.622,14.62,9.75,9,9,13,4,3,7,2589,2409,64.9,106.7,0.354,0.421,0.533,49.3,55.8,12.4,12.6,0.501,15.3,33.4,0.243
299,Temple NCAA,33,21,12,0.636,7.69,6.57,14,4,11,3,8,4,2267,2230,65.8,102.4,0.266,0.375,0.498,49.3,54.1,7.8,7.8,0.47,11.8,29.1,0.182
300,Tennessee-Martin,35,20,15,0.571,-5.57,-4.72,10,6,11,2,8,10,2554,2494,67.4,106.7,0.356,0.395,0.546,51.3,47.9,8.5,6.1,0.513,15.4,30.3,0.252
301,Tennessee State,31,20,11,0.645,-1.81,-5.3,11,5,11,3,7,7,2273,2134,69.4,104,0.417,0.294,0.539,51.8,41.3,11.4,11.5,0.501,16.8,32,0.29
302,Tennessee Tech,31,19,12,0.613,-3.21,-3.66,11,5,14,1,5,9,2416,2340,70.1,110.7,0.44,0.423,0.577,49.6,55.8,7.3,9.6,0.535,15.5,28,0.327
303,Tennessee,34,15,19,0.441,7.8,7.86,6,12,12,4,1,11,2554,2556,70.9,105.9,0.341,0.362,0.519,48.7,51.6,7.5,11.5,0.48,13.4,32.1,0.247
304,Texas A&M-Corpus Christi,33,25,8,0.758,-3.18,-5.44,15,3,13,1,10,6,2428,2308,70.3,104.7,0.38,0.329,0.536,49.4,50.2,13.2,13,0.493,15.6,31.7,0.28
305,Texas A&M NCAA,37,28,9,0.757,18.45,8.45,13,5,17,1,5,5,2828,2458,68.8,109.6,0.381,0.373,0.542,53,61.8,10.1,10.5,0.512,14.3,33.8,0.256
306,Texas-Arlington,35,24,11,0.686,5.02,-3.42,13,7,13,2,10,8,2762,2417,72.8,107.2,0.347,0.419,0.527,55.3,61.7,10.1,8.5,0.493,15.5,37,0.241
307,Texas Christian,33,12,21,0.364,4.07,8.62,2,16,9,9,1,10,2209,2359,70,95.7,0.456,0.308,0.502,48,52,9.2,10.9,0.457,17.8,29.3,0.306
308,Texas-El Paso,33,19,14,0.576,-3.81,-4.93,10,8,14,4,2,9,2554,2471,72.8,105.2,0.42,0.321,0.553,48.1,57.1,8.1,9.5,0.523,15.3,25.1,0.28
309,Texas-Rio Grande Valley,30,8,22,0.267,-17.88,-4.25,4,10,7,6,1,13,1993,2330,69.3,95.9,0.304,0.37,0.509,44.8,64.1,6.9,7,0.48,16,23.6,0.204
310,Texas-San Antonio,32,5,27,0.156,-16.36,-3.36,3,15,4,10,1,14,2317,2698,73.1,98.3,0.375,0.361,0.513,47.9,46,8.7,7,0.473,16.2,26.7,0.264
311,Texas Southern,33,18,15,0.545,-4.64,-6.94,16,2,9,0,7,13,2403,2327,68.1,106.9,0.415,0.355,0.542,53.7,55.3,6.5,7.5,0.518,16.4,35.3,0.262
312,Texas State,31,15,16,0.484,-5.36,-4.29,8,12,10,4,4,11,2046,1993,65.2,100.5,0.389,0.271,0.51,50,50.3,9.3,9,0.474,15.6,30.9,0.262
313,Texas Tech NCAA,32,19,13,0.594,12.41,10.25,9,9,14,3,3,7,2305,2236,66.7,106.7,0.422,0.304,0.547,50.1,53.2,8.8,11.8,0.5,15.5,31.2,0.314
314,Texas NCAA,33,20,13,0.606,14.8,11.71,11,7,14,3,5,5,2355,2253,66.8,106.1,0.394,0.361,0.526,49.1,46.3,7.5,11.6,0.494,13.2,30.7,0.263
315,Toledo,32,17,15,0.531,2.96,-2.36,8,10,9,6,6,8,2482,2286,70.4,110.2,0.348,0.384,0.566,52.2,60.5,7.4,5.3,0.53,14.5,27.9,0.26
