Rk,School,Overall G,Overall W,Overall L,Overall W-L%,OverallSRS,Overall SOS,Conference W,Conference L,Home W,Home L,Away W,Away L,Points Team,PPG,Points Opponent,OPPG,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
207,Norfolk State,34,20,14,0.588,-4.66,-6.35,12,4,10,3,7,10,2385,70.14705882,2254,66.29411765,1380,850,1801,0.472,190,549,0.346,495,751,0.659,370,1224,459,173,167,460,668
208,North Carolina-Asheville,31,15,16,0.484,-7.19,-5.65,10,8,8,6,6,10,2242,72.32258065,2183,70.41935484,1245,780,1774,0.44,233,652,0.357,449,619,0.725,352,1120,423,228,144,437,594
209,North Carolina A&T,32,9,23,0.281,-16.76,-8.02,6,10,7,5,2,15,1884,58.875,2112,66,1285,648,1622,0.4,157,555,0.283,431,633,0.681,366,1066,297,170,127,483,594
210,North Carolina Central,33,25,8,0.758,0.66,-8.67,16,0,12,0,9,7,2278,69.03030303,1821,55.18181818,1325,813,1668,0.487,219,593,0.369,433,632,0.685,312,1121,461,219,134,414,636
211,North Carolina-Greensboro,33,11,22,0.333,-7.99,-4.36,6,12,6,10,4,9,2290,69.39393939,2337,70.81818182,1330,838,1895,0.442,216,598,0.361,398,613,0.649,364,1138,400,206,109,414,711
212,North Carolina State,36,22,14,0.611,14.11,9.72,10,8,14,6,5,5,2525,70.13888889,2367,65.75,1450,895,2054,0.436,236,661,0.357,499,727,0.686,435,1369,415,138,184,375,637
213,North Carolina-Wilmington,32,18,14,0.563,-2.53,-1.92,12,6,10,2,7,11,2239,69.96875,2200,68.75,1295,810,1834,0.442,162,465,0.348,457,677,0.675,359,1131,368,244,140,395,661
214,North Carolina,38,26,12,0.684,20.63,11.76,11,7,10,5,7,4,2953,77.71052632,2616,68.84210526,1530,1099,2309,0.476,184,514,0.358,571,814,0.701,526,1541,661,251,160,481,738
215,North Dakota State,33,23,10,0.697,-1.72,-3.63,12,4,14,0,5,8,2141,64.87878788,2057,62.33333333,1335,743,1713,0.434,230,600,0.383,425,614,0.692,274,1098,315,156,123,325,504
216,North Dakota,30,8,22,0.267,-12.16,-3.73,4,14,3,9,4,12,2032,67.73333333,2201,73.36666667,1211,713,1637,0.436,180,543,0.331,426,628,0.678,260,961,353,189,94,373,640
217,North Florida,35,23,12,0.657,-0.82,-5.94,12,2,12,2,9,9,2651,75.74285714,2385,68.14285714,1400,897,1910,0.47,317,810,0.391,540,747,0.723,339,1219,506,214,146,436,568
218,North Texas,31,14,17,0.452,-4.95,-0.71,8,10,11,6,3,10,2025,65.32258065,2113,68.16129032,1245,726,1678,0.433,147,489,0.301,426,677,0.629,338,1094,310,209,103,420,548
219,Northeastern,35,23,12,0.657,2.03,-1.34,12,6,9,3,8,7,2397,68.48571429,2279,65.11428571,1415,838,1725,0.486,203,526,0.386,518,713,0.727,297,1160,500,183,129,483,496
220,Northern Arizona,38,23,15,0.605,-3.48,-4.13,13,5,13,2,8,12,2606,68.57894737,2556,67.26315789,1535,878,2175,0.404,255,734,0.347,595,793,0.75,501,1463,463,182,153,447,709
221,Northern Colorado,30,15,15,0.5,-6.82,-6.21,10,8,12,3,3,11,2242,74.73333333,2203,73.43333333,1220,804,1691,0.475,204,535,0.381,430,602,0.714,339,978,370,196,59,313,594
222,Northern Illinois,30,14,16,0.467,-1.79,-0.14,8,10,10,5,4,11,1971,65.7,1989,66.3,1215,661,1543,0.428,149,470,0.317,500,735,0.68,373,1039,294,226,73,426,573
223,Northern Iowa,35,31,4,0.886,12.54,2,16,2,16,0,9,3,2281,65.17142857,1912,54.62857143,1420,776,1618,0.48,257,645,0.398,472,644,0.733,255,1071,413,207,84,363,508
224,Northern Kentucky,30,13,17,0.433,-6.85,-4.49,7,7,9,6,4,11,2117,70.56666667,2079,69.3,1210,779,1693,0.46,226,648,0.349,333,507,0.657,299,1014,379,173,85,348,612
225,Northwestern State,32,19,13,0.594,-5.48,-4.52,13,5,11,4,7,8,2687,83.96875,2656,83,1280,946,2052,0.461,264,740,0.357,531,709,0.749,372,1106,509,242,144,392,596
226,Northwestern,32,15,17,0.469,6.11,7.2,6,12,11,7,3,8,2031,63.46875,2066,64.5625,1305,727,1669,0.436,228,635,0.359,349,477,0.732,277,1052,460,118,126,357,573
227,Notre Dame,38,32,6,0.842,19.23,7.02,14,4,17,2,7,2,2963,77.97368421,2499,65.76315789,1545,1050,2061,0.509,302,775,0.39,561,756,0.742,313,1231,576,256,138,357,540
228,Oakland,33,16,17,0.485,-1.28,1.27,11,5,12,4,4,12,2450,74.24242424,2482,75.21212121,1350,857,1854,0.462,259,716,0.362,477,695,0.686,340,1109,517,196,55,416,572
